City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,thomasville,35.8826,-80.082,293.93,96,70,2.35,US,1715166436
84,bairnsdale,-37.8333,147.6167,283.18,94,1,1.1,AU,1715166437
85,tourlaville,49.6383,-1.5664,288.44,82,75,4.12,FR,1715166438
86,cockburn town,21.4612,-71.1419,298.34,79,100,7.31,TC,1715166439
87,albany,42.6001,-73.9662,285.7,88,100,0.95,US,1715166062
88,hammerfest,70.6634,23.6821,276.4,48,0,6.69,NO,1715166440
89,tillaberi,14.2117,1.4531,312.69,22,100,3.53,NE,1715166441
90,jacobina,-11.1806,-40.5183,294.79,96,100,3.05,BR,1715166442
91,tolanaro,-25.0319,46.9987,299.4,66,0,7.43,MG,1715166442
92,batang,-6.4846,110.7083,300.84,76,88,3.16,ID,1715166443
93,hargeysa,9.56,44.065,302.81,40,9,3.47,SO,1715166444
94,laojunmiao,39.8333,97.7333,296.86,11,66,5.3,CN,1715166445
95,eraan,9.0629,117.7016,302.06,78,97,1.49,PH,1715166445
96,georgetown,5.4112,100.3354,305.12,63,40,2.06,MY,1715166169
97,iskateley,67.6803,53.1512,268.16,88,100,7.15,RU,1715166151
98,blackmans bay,-43.0167,147.3167,284.22,95,100,2.11,AU,1715166066
99,ancud,-41.8697,-73.8203,281.64,86,100,4.99,CL,1715166235
100,remire-montjoly,4.9167,-52.2667,299.17,100,100,0.51,GF,1715166450
101,pontes e lacerda,-15.2261,-59.3353,295.96,78,23,0.81,BR,1715166450
102,chibougamau,49.9168,-74.3659,275.45,86,89,2.83,CA,1715166451
103,kanuru,16.2858,81.2546,303.27,76,34,7.03,IN,1715166452
104,atafu village,-8.5421,-172.5159,302.3,75,100,3.71,TK,1715166452
105,sao tome,0.3365,6.7273,301.87,79,100,3.6,ST,1715166453
106,vilyuysk,63.7553,121.6247,275.93,85,98,4.47,RU,1715166454
107,carolina beach,34.0352,-77.8936,296.54,93,84,4.11,US,1715166454
108,san antonio de pale,-1.4014,5.6325,300.84,85,100,4.95,GQ,1715166281
109,nova sintra,14.8667,-24.7167,297.46,74,1,8.1,CV,1715166456
110,udachny,66.4167,112.4,272.84,98,100,6.82,RU,1715166134
111,labytnangi,66.6572,66.4183,270.58,83,75,5.53,RU,1715166457
112,isafjordur,66.0755,-23.124,278.17,65,75,6.17,IS,1715166458
113,san pedro pochutla,15.7333,-96.4667,297.32,79,53,0.98,MX,1715166458
114,sinabang,2.4803,96.3801,301.26,80,100,2.25,ID,1715166459
115,collie,-33.3667,116.15,289.04,49,99,1.99,AU,1715166460
116,north bend,43.4065,-124.2243,279.3,93,0,2.06,US,1715166460
117,keflavik,64.0049,-22.5624,278.39,70,40,5.66,IS,1715166461
118,kavieng,-2.5744,150.7967,302.29,78,89,8.6,PG,1715165878
119,belaya kholunitsa,58.84,50.8528,276.78,85,93,7.3,RU,1715166463
120,zagora,30.3484,-5.8365,305.97,8,71,5.78,MA,1715166463
121,petropavlovsk-kamchatsky,53.0452,158.6483,274.14,78,99,3.58,RU,1715166464
122,darwin,-12.4611,130.8418,301.14,68,0,1.54,AU,1715166465
123,plesetsk,62.708,40.2916,274.92,33,81,4.94,RU,1715166466
124,lensk,60.7253,114.9278,278.16,61,83,3.54,RU,1715166466
125,nouadhibou,20.931,-17.0347,295.14,73,20,6.69,MR,1715166467
126,winkler,49.1817,-97.941,283.25,90,100,5.33,CA,1715166438
127,ust-nera,64.5667,143.2,274.84,98,88,2.43,RU,1715166469
128,erenhot,43.6475,111.9767,299.06,17,85,4.32,CN,1715166469
129,leh,34.1667,77.5833,278.35,46,0,0.88,IN,1715166470
130,weno,7.4515,151.8468,301.12,89,100,3.09,FM,1715166185
131,arraial do cabo,-22.9661,-42.0278,299.07,78,0,9.26,BR,1715166472
132,talcahuano,-36.7167,-73.1167,281.32,78,22,3.01,CL,1715166472
133,selendi,38.7444,28.8678,298.49,22,97,0.64,TR,1715166473
134,eyl,7.9803,49.8164,305.21,62,22,5.24,SO,1715166474
135,namibe,-15.1961,12.1522,302.8,49,35,5.03,AO,1715166475
136,stanley,54.868,-1.6985,291.16,71,20,5.14,GB,1715166476
137,ingeniero jacobacci,-41.3427,-69.5448,272.91,72,24,5.8,AR,1715166477
138,qarazhal,48.0078,70.7903,300.32,23,80,6.29,KZ,1715166477
139,aras-asan,8.8908,126.3033,300.7,79,65,2.93,PH,1715166478
140,woolgoolga,-30.1106,153.2007,289.08,77,63,4.8,AU,1715166480
141,olonkinbyen,70.9221,-8.7187,272.71,99,100,4.66,SJ,1715166480
142,datong,40.0936,113.2914,298.22,15,51,3.36,CN,1715166481
143,nkowakowa,-23.8878,30.2871,303.91,20,0,2.44,ZA,1715166482
144,salinas,36.6777,-121.6555,283.19,93,0,1.54,US,1715166405
145,st. john's,47.5649,-52.7093,279.25,96,100,5.14,CA,1715166483
146,markivka,49.5229,39.5705,286.03,35,33,6.2,UA,1715166484
147,nabire,-3.3667,135.4833,298.84,91,100,1.36,ID,1715166485
148,dakhla,23.6848,-15.958,292.64,80,83,7.12,EH,1715166486
149,tiksi,71.6872,128.8694,271.7,91,76,4.21,RU,1715166486
150,rokycany,49.7427,13.5946,288.68,78,100,2.22,CZ,1715166487
